Region,Grape_Type,Season,Quality_Grade,Weight_kg,Sugar_Content_Brix,Farm_Size_ha,Distance_to_Market_km,Rainfall_mm,Price_TZS_per_kg
Dodoma,Flame Seedless,Dry Season,Grade C,5.03,14.0,13.0,78.0,1152.6,4524.36
Singida,Thompson Seedless,Wet Season,Grade B,4.25,12.3,6.3,53.0,1020.7,4456.58
Mbeya,Flame Seedless,Wet Season,Grade C,5.72,22.8,5.2,60.1,502.3,4695.85
Singida,Muscat,Dry Season,Grade C,7.6,10.7,6.6,10.8,678.0,4966.25
Morogoro,Flame Seedless,Wet Season,Grade B,7.3,19.3,5.5,120.3,748.3,4742.4
Mbeya,Muscat,Wet Season,Grade C,5.45,18.4,1.1,61.5,716.8,4470.02
Morogoro,Thompson Seedless,Wet Season,Grade B,8.31,15.2,19.4,126.4,935.4,4408.03
Dodoma,Thompson Seedless,Wet Season,Grade A,4.59,14.7,4.8,280.8,1113.5,4244.69
Dodoma,Thompson Seedless,Wet Season,Grade B,9.02,21.6,14.8,132.0,644.8,5025.08
Mbeya,Thompson Seedless,Dry Season,Grade A,1.18,11.3,15.4,264.0,841.5,4508.66
Mbeya,Thompson Seedless,Wet Season,Grade C,9.57,13.6,18.6,183.6,1031.5,4333.38
Singida,Muscat,Dry Season,Grade C,6.72,21.0,1.1,77.9,733.0,5787.34
Singida,Muscat,Wet Season,Grade A,4.11,18.2,17.5,110.0,534.5,6107.56
Morogoro,Thompson Seedless,Dry Season,Grade C,2.37,11.9,10.8,29.8,780.0,4458.51
Mbeya,Flame Seedless,Wet Season,Grade B,5.05,23.2,12.8,103.4,444.2,5234.77
Dodoma,Red Globe,Dry Season,Grade A,2.35,15.9,13.1,204.9,1153.9,5889.97
Singida,Thompson Seedless,Wet Season,Grade C,2.08,22.4,16.5,26.3,459.9,5365.24
Singida,Flame Seedless,Dry Season,Grade A,6.36,21.8,7.0,65.6,750.8,6042.42
Dodoma,Red Globe,Wet Season,Grade B,5.47,19.4,14.8,117.5,823.9,4954.84
Singida,Thompson Seedless,Dry Season,Grade B,6.87,17.4,10.8,294.7,1188.2,5238.81
Morogoro,Thompson Seedless,Wet Season,Grade C,9.33,24.7,16.0,236.5,532.8,4735.03
Mbeya,Muscat,Dry Season,Grade B,5.56,12.2,19.8,221.4,491.5,5416.05
Dodoma,Red Globe,Dry Season,Grade A,6.02,20.9,4.4,39.3,407.0,6361.64
Mbeya,Red Globe,Wet Season,Grade B,1.35,12.9,19.9,235.4,524.5,3321.52
Singida,Flame Seedless,Wet Season,Grade A,7.32,15.1,2.3,236.7,565.8,4405.7
Singida,Muscat,Dry Season,Grade A,4.3,14.6,0.5,182.3,904.5,5691.71
Dodoma,Muscat,Wet Season,Grade B,9.78,24.2,1.4,297.2,575.8,5089.23
Morogoro,Muscat,Dry Season,Grade C,8.32,24.5,7.2,100.9,416.4,5885.83
Arusha,Muscat,Dry Season,Grade B,5.46,12.7,12.8,282.7,1061.3,4549.91
Dodoma,Red Globe,Dry Season,Grade A,1.67,10.3,1.8,274.8,692.5,4727.6
Arusha,Red Globe,Wet Season,Grade A,8.66,20.8,0.6,8.4,683.0,5937.43
Arusha,Thompson Seedless,Dry Season,Grade B,8.1,16.3,18.8,137.8,642.0,5523.19
Morogoro,Thompson Seedless,Dry Season,Grade C,2.25,11.3,16.5,293.2,1180.3,3495.42
Arusha,Muscat,Wet Season,Grade C,3.31,20.3,16.3,35.4,536.1,5329.49
Arusha,Muscat,Wet Season,Grade A,8.04,18.2,17.7,166.6,1118.6,5901.1
Morogoro,Muscat,Wet Season,Grade A,2.26,24.7,14.2,293.8,1021.4,5745.44
Arusha,Thompson Seedless,Wet Season,Grade C,9.22,13.4,2.5,168.9,461.2,3539.95
Arusha,Flame Seedless,Dry Season,Grade B,4.53,16.1,8.3,61.0,1189.4,5455.28
Arusha,Flame Seedless,Dry Season,Grade A,1.33,18.1,14.6,176.7,617.1,5236.09
Dodoma,Thompson Seedless,Dry Season,Grade A,8.25,21.9,6.0,65.3,478.9,5712.48
Dodoma,Thompson Seedless,Dry Season,Grade C,4.05,18.2,13.9,158.3,1063.5,4919.28
Dodoma,Thompson Seedless,Wet Season,Grade B,5.5,19.2,1.0,26.8,965.3,4769.0
Morogoro,Thompson Seedless,Dry Season,Grade C,1.57,13.4,6.5,183.6,893.8,4051.58
Singida,Thompson Seedless,Dry Season,Grade B,0.52,22.7,11.2,157.5,524.8,4099.56
Arusha,Thompson Seedless,Wet Season,Grade B,6.56,16.4,12.8,223.3,782.8,4422.29
Arusha,Muscat,Dry Season,Grade B,5.39,12.1,11.8,191.1,1024.4,5118.0
Morogoro,Muscat,Dry Season,Grade A,6.14,20.0,14.1,167.1,642.9,5904.7
Arusha,Muscat,Dry Season,Grade C,8.04,13.2,0.6,208.5,649.4,4945.97
Dodoma,Muscat,Dry Season,Grade C,6.64,11.5,2.5,47.5,402.5,5051.66
Singida,Thompson Seedless,Dry Season,Grade B,2.16,22.9,17.4,180.6,539.4,5117.7
Mbeya,Flame Seedless,Dry Season,Grade A,3.93,16.9,13.8,55.8,1100.3,5561.6
Arusha,Red Globe,Wet Season,Grade A,9.11,21.2,2.7,278.0,753.4,5201.61
Dodoma,Thompson Seedless,Wet Season,Grade C,7.81,14.4,16.9,25.2,1187.4,4735.53
Mbeya,Red Globe,Dry Season,Grade A,5.79,21.8,5.2,132.0,716.6,6377.1
Singida,Flame Seedless,Dry Season,Grade A,2.93,11.7,9.8,210.3,972.1,4700.53
Mbeya,Muscat,Wet Season,Grade B,3.37,15.3,3.3,140.1,625.5,4909.43
Dodoma,Flame Seedless,Dry Season,Grade A,7.45,24.7,14.3,32.2,691.0,6421.32
Mbeya,Thompson Seedless,Dry Season,Grade B,8.59,21.9,13.5,168.2,552.6,5019.45
Morogoro,Muscat,Dry Season,Grade C,6.88,17.5,4.6,194.3,677.6,4752.22
Mbeya,Thompson Seedless,Wet Season,Grade A,8.19,15.1,17.3,212.6,837.8,4825.88
Arusha,Muscat,Dry Season,Grade C,7.78,23.1,8.3,115.1,1193.4,6134.75
Arusha,Red Globe,Wet Season,Grade C,1.92,18.2,6.2,171.3,931.4,4326.16
Morogoro,Red Globe,Dry Season,Grade A,4.53,21.4,3.5,138.0,559.4,5847.09
Dodoma,Red Globe,Wet Season,Grade A,1.95,21.3,5.7,203.3,436.0,5216.8
Arusha,Flame Seedless,Wet Season,Grade C,2.73,10.3,0.9,177.1,501.1,2919.42
Singida,Thompson Seedless,Dry Season,Grade A,8.76,11.9,11.9,160.1,850.0,4673.82
Arusha,Flame Seedless,Wet Season,Grade B,4.99,19.9,16.9,78.6,1012.1,5013.42
Arusha,Red Globe,Dry Season,Grade B,5.59,12.4,11.2,5.6,1152.3,4952.82
Dodoma,Thompson Seedless,Wet Season,Grade A,2.2,13.8,4.8,56.4,412.7,4528.57
Mbeya,Red Globe,Dry Season,Grade C,3.47,24.2,1.2,39.5,818.2,5941.26
Arusha,Flame Seedless,Dry Season,Grade A,2.69,18.4,4.7,137.5,776.7,5080.48
Morogoro,Flame Seedless,Wet Season,Grade A,2.46,21.3,8.6,185.6,924.8,5430.17
Mbeya,Flame Seedless,Dry Season,Grade C,6.56,18.4,15.3,67.9,847.7,5479.0
Singida,Red Globe,Dry Season,Grade C,2.94,18.3,4.2,282.0,949.6,4885.74
Dodoma,Thompson Seedless,Wet Season,Grade B,6.5,11.4,14.5,7.0,926.5,4626.12
Singida,Thompson Seedless,Dry Season,Grade C,1.06,15.2,17.4,232.8,493.6,3767.57
Mbeya,Red Globe,Dry Season,Grade B,1.85,14.2,9.4,189.4,1039.8,5102.44
Mbeya,Thompson Seedless,Wet Season,Grade C,3.11,15.9,16.5,115.2,498.6,3773.82
Mbeya,Red Globe,Wet Season,Grade A,6.17,22.0,11.3,19.9,958.8,6149.57
Singida,Thompson Seedless,Dry Season,Grade B,6.92,15.6,12.9,190.1,732.9,4796.74
Mbeya,Muscat,Dry Season,Grade B,4.71,16.8,10.8,118.8,811.1,5982.06
Singida,Muscat,Wet Season,Grade B,4.74,16.0,9.5,281.2,1122.6,4843.8
Mbeya,Flame Seedless,Wet Season,Grade A,7.38,11.4,5.1,164.9,1111.9,4520.08
Morogoro,Muscat,Dry Season,Grade A,0.65,16.6,6.4,282.2,1054.3,4883.57
Mbeya,Muscat,Wet Season,Grade A,3.74,12.9,6.2,70.0,808.1,5046.48
Singida,Muscat,Dry Season,Grade A,8.28,12.8,11.5,219.1,989.0,6016.47
Arusha,Red Globe,Dry Season,Grade A,6.23,11.4,2.8,187.1,810.3,5207.38
Mbeya,Muscat,Dry Season,Grade B,3.7,15.4,18.4,223.1,1095.7,5012.58
Arusha,Muscat,Dry Season,Grade A,9.1,21.4,14.6,68.3,722.2,6373.22
Morogoro,Flame Seedless,Dry Season,Grade B,7.84,14.1,8.3,201.2,1176.2,4929.15
Dodoma,Muscat,Wet Season,Grade A,3.02,14.7,3.6,151.9,1145.9,4899.13
Morogoro,Muscat,Wet Season,Grade C,6.63,19.6,17.7,224.1,993.3,4689.61
Mbeya,Thompson Seedless,Wet Season,Grade B,6.16,12.9,16.6,101.5,623.5,4481.03
Arusha,Flame Seedless,Wet Season,Grade C,4.31,23.5,14.6,267.6,505.3,4498.02
Arusha,Flame Seedless,Dry Season,Grade B,3.99,17.8,5.8,29.9,1083.8,5166.49
Singida,Flame Seedless,Dry Season,Grade C,3.76,16.7,8.3,243.1,532.2,4113.37
Arusha,Flame Seedless,Dry Season,Grade A,6.36,18.4,2.5,259.1,1083.4,5282.13
Singida,Flame Seedless,Dry Season,Grade A,4.7,12.5,4.2,246.1,792.6,4627.74
Dodoma,Flame Seedless,Wet Season,Grade A,8.4,19.2,15.8,156.3,725.2,5277.88
Mbeya,Red Globe,Dry Season,Grade B,6.86,15.4,14.4,134.3,1122.6,5748.35
Singida,Muscat,Dry Season,Grade C,1.16,23.5,12.1,298.9,883.1,5022.67
Dodoma,Flame Seedless,Wet Season,Grade A,6.58,12.5,18.0,72.6,861.3,4544.27
Arusha,Muscat,Wet Season,Grade C,3.08,17.6,11.9,166.3,847.0,5131.6
Arusha,Muscat,Wet Season,Grade C,6.13,19.0,9.6,202.8,696.9,4985.38
Dodoma,Red Globe,Wet Season,Grade A,6.96,10.5,7.1,211.8,1028.5,4277.76
Arusha,Flame Seedless,Dry Season,Grade A,2.69,15.5,18.8,65.2,602.2,5596.69
Dodoma,Thompson Seedless,Dry Season,Grade C,4.84,21.0,2.1,197.9,1151.1,5149.06
Singida,Red Globe,Wet Season,Grade A,2.31,22.3,18.7,246.4,1115.2,5716.61
Singida,Thompson Seedless,Dry Season,Grade A,1.0,14.7,16.6,19.8,670.0,5672.2
Dodoma,Muscat,Dry Season,Grade A,4.1,22.0,3.0,273.9,983.6,5944.03
Singida,Muscat,Dry Season,Grade B,3.95,24.5,11.5,13.7,858.6,7093.89
Singida,Red Globe,Wet Season,Grade C,9.96,22.9,17.4,110.0,670.1,5349.31
Singida,Red Globe,Dry Season,Grade C,4.74,11.8,11.7,9.7,1190.8,5026.81
Morogoro,Thompson Seedless,Wet Season,Grade B,3.67,21.1,18.2,27.8,420.2,5223.52
Mbeya,Flame Seedless,Dry Season,Grade C,6.01,14.8,18.9,273.8,602.1,4270.97
Arusha,Thompson Seedless,Dry Season,Grade A,1.34,24.8,8.7,109.7,816.1,6108.89
Morogoro,Red Globe,Dry Season,Grade C,9.64,17.3,7.9,130.3,817.6,5302.84
Singida,Thompson Seedless,Wet Season,Grade A,6.53,11.8,18.8,68.5,871.1,5125.58
Dodoma,Red Globe,Dry Season,Grade B,7.67,20.9,13.7,181.1,1001.3,5493.31
Singida,Thompson Seedless,Wet Season,Grade A,2.12,14.8,2.8,180.5,898.8,3918.57
Mbeya,Red Globe,Wet Season,Grade C,4.39,25.0,1.3,114.8,880.2,5371.44
Singida,Red Globe,Wet Season,Grade C,4.52,24.7,11.5,103.2,442.8,5018.68
Dodoma,Red Globe,Dry Season,Grade C,8.31,19.8,18.6,266.1,701.2,5355.05
Mbeya,Flame Seedless,Dry Season,Grade B,0.51,11.9,17.0,118.1,585.6,3928.07
Singida,Thompson Seedless,Dry Season,Grade B,3.36,20.3,13.7,150.6,612.3,5440.35
Mbeya,Thompson Seedless,Dry Season,Grade C,9.82,11.4,3.2,88.6,843.5,4366.5
Arusha,Thompson Seedless,Wet Season,Grade A,5.01,10.4,5.5,237.1,559.6,3619.13
Arusha,Red Globe,Wet Season,Grade B,4.13,22.3,17.6,122.2,635.2,5174.49
Singida,Thompson Seedless,Wet Season,Grade C,1.64,13.1,4.1,156.5,589.7,3043.96
Mbeya,Thompson Seedless,Dry Season,Grade C,9.75,15.7,5.9,79.7,1158.8,5101.28
Dodoma,Red Globe,Wet Season,Grade B,0.69,24.6,3.0,296.4,1155.7,4610.25
Singida,Muscat,Dry Season,Grade B,7.5,15.1,13.7,91.0,888.0,6146.12
Arusha,Red Globe,Wet Season,Grade B,7.8,14.4,18.9,232.4,1139.6,5146.6
Arusha,Thompson Seedless,Dry Season,Grade A,2.81,23.8,5.7,131.1,1028.7,6424.0
Singida,Red Globe,Dry Season,Grade A,6.88,11.7,9.8,65.8,872.0,5035.25
Mbeya,Muscat,Wet Season,Grade C,1.38,21.4,12.9,240.9,405.1,4138.3
Arusha,Red Globe,Wet Season,Grade B,2.94,24.8,20.0,103.4,1018.0,4947.33
Mbeya,Thompson Seedless,Wet Season,Grade A,7.99,23.5,2.5,260.2,962.0,4771.84
Arusha,Muscat,Wet Season,Grade B,8.71,19.8,10.2,275.0,892.2,4849.74
Arusha,Flame Seedless,Dry Season,Grade C,6.28,14.7,8.0,258.6,1008.3,4401.52
Morogoro,Thompson Seedless,Wet Season,Grade A,5.31,13.8,17.4,15.3,810.3,5020.77
Arusha,Muscat,Wet Season,Grade A,2.01,22.3,9.8,237.3,963.3,5402.63
Dodoma,Muscat,Wet Season,Grade A,1.1,23.2,2.7,126.3,1148.1,5914.68
Singida,Flame Seedless,Dry Season,Grade C,1.62,17.9,12.9,262.7,700.6,3720.41
Singida,Red Globe,Dry Season,Grade B,2.66,13.7,15.5,193.2,966.5,4691.07
Mbeya,Red Globe,Wet Season,Grade A,3.75,11.7,0.6,250.9,780.6,4022.03
Arusha,Thompson Seedless,Dry Season,Grade C,4.12,11.3,17.2,152.3,939.5,4306.13
Dodoma,Flame Seedless,Wet Season,Grade B,3.79,20.8,4.1,162.8,1010.3,4575.34
Mbeya,Red Globe,Dry Season,Grade C,2.77,16.3,11.3,47.6,436.4,5394.09
Morogoro,Flame Seedless,Dry Season,Grade B,5.34,23.6,8.6,236.3,917.3,5549.25
Mbeya,Red Globe,Dry Season,Grade C,8.34,21.1,14.5,128.7,581.4,5268.81
Mbeya,Muscat,Dry Season,Grade B,3.16,12.9,7.7,152.5,936.0,5076.1
Arusha,Red Globe,Wet Season,Grade A,9.45,19.2,17.5,236.6,774.7,5337.22
Morogoro,Flame Seedless,Wet Season,Grade B,8.8,16.5,14.7,181.7,1018.8,4464.05
Mbeya,Muscat,Wet Season,Grade C,2.04,18.7,13.1,64.3,498.7,4898.2
Dodoma,Muscat,Dry Season,Grade C,7.97,21.1,16.0,179.1,901.1,5261.82
Dodoma,Muscat,Wet Season,Grade B,5.96,22.1,15.2,125.3,622.8,5769.71
Singida,Flame Seedless,Wet Season,Grade A,5.88,22.7,1.2,143.5,1082.4,5852.77
Morogoro,Thompson Seedless,Wet Season,Grade A,4.21,13.8,8.2,13.4,1142.7,5028.7
Morogoro,Thompson Seedless,Dry Season,Grade B,5.26,10.5,18.7,67.0,1197.1,4987.74
Singida,Thompson Seedless,Dry Season,Grade B,4.27,21.1,3.0,87.9,1036.8,5463.31
Mbeya,Flame Seedless,Dry Season,Grade C,5.63,11.6,14.9,215.3,1003.0,4568.92
Morogoro,Muscat,Wet Season,Grade A,6.47,14.7,19.5,8.4,572.4,5753.21
Dodoma,Thompson Seedless,Wet Season,Grade B,6.91,10.1,1.5,125.6,668.8,4021.28
Dodoma,Flame Seedless,Wet Season,Grade A,5.56,20.2,13.8,277.6,772.5,4970.0
Arusha,Thompson Seedless,Dry Season,Grade B,7.35,12.5,9.6,38.0,1018.7,5863.33
Morogoro,Red Globe,Dry Season,Grade B,1.84,19.8,11.8,157.3,1132.0,5407.5
Mbeya,Thompson Seedless,Wet Season,Grade A,2.51,24.9,2.2,237.0,551.3,4233.35
Singida,Thompson Seedless,Dry Season,Grade B,8.28,11.1,1.3,283.0,1137.9,3818.07
Singida,Muscat,Dry Season,Grade B,3.56,11.2,13.5,225.3,956.5,4949.93
Mbeya,Flame Seedless,Dry Season,Grade C,0.72,15.1,16.6,217.6,888.6,4575.86
Arusha,Muscat,Dry Season,Grade B,1.96,23.0,15.7,248.8,559.9,5389.8
Singida,Muscat,Wet Season,Grade B,2.62,13.2,11.1,136.6,444.4,4352.12
Morogoro,Muscat,Dry Season,Grade B,9.59,15.4,2.4,242.7,854.8,5464.25
Arusha,Muscat,Dry Season,Grade C,5.94,11.0,13.9,7.3,921.2,5104.13
Morogoro,Muscat,Dry Season,Grade A,9.36,21.4,5.2,277.7,568.6,5851.82
Dodoma,Thompson Seedless,Dry Season,Grade C,5.96,16.1,18.3,135.8,845.2,4516.88
Arusha,Muscat,Wet Season,Grade C,5.05,21.4,16.8,168.2,1085.2,5591.97
Singida,Muscat,Wet Season,Grade A,3.48,23.6,14.3,80.2,1068.1,6803.95
Arusha,Flame Seedless,Dry Season,Grade C,6.26,13.5,19.0,224.0,1141.9,4098.13
Arusha,Red Globe,Dry Season,Grade A,1.82,22.1,1.1,27.6,692.7,6101.89
Arusha,Thompson Seedless,Dry Season,Grade C,9.03,10.9,14.9,262.4,654.4,4483.68
Arusha,Thompson Seedless,Dry Season,Grade A,8.38,23.5,6.9,249.3,999.5,6008.46
Morogoro,Thompson Seedless,Dry Season,Grade B,3.52,19.8,18.2,68.7,744.9,5343.58
Dodoma,Muscat,Dry Season,Grade C,9.55,23.1,5.7,243.8,470.0,4979.25
Mbeya,Muscat,Wet Season,Grade C,8.34,10.0,14.6,237.0,626.2,4356.98
Arusha,Muscat,Dry Season,Grade C,6.83,12.5,17.6,191.5,734.9,5094.6
Singida,Flame Seedless,Wet Season,Grade C,1.66,15.8,1.3,115.2,634.0,3202.5
Arusha,Red Globe,Wet Season,Grade B,5.04,15.7,8.3,85.1,665.8,5008.57
Singida,Muscat,Dry Season,Grade C,5.31,13.4,15.4,73.4,635.0,4762.68
Morogoro,Red Globe,Wet Season,Grade B,2.71,15.7,9.4,99.0,433.2,4332.95
Singida,Flame Seedless,Wet Season,Grade B,1.26,11.9,5.7,271.5,909.7,3289.97
Mbeya,Thompson Seedless,Wet Season,Grade B,7.88,16.2,4.8,27.9,877.8,5226.71
Dodoma,Muscat,Wet Season,Grade B,1.66,22.0,3.1,249.5,922.7,4739.54
Singida,Red Globe,Wet Season,Grade A,6.15,17.2,17.2,107.9,553.8,5301.31
Singida,Red Globe,Wet Season,Grade A,9.4,10.3,11.7,158.9,636.5,4360.63
Dodoma,Muscat,Dry Season,Grade C,8.82,16.3,2.0,239.4,895.7,4822.53
Mbeya,Thompson Seedless,Wet Season,Grade A,3.14,10.4,8.0,265.9,879.7,3645.96
Arusha,Thompson Seedless,Wet Season,Grade A,8.59,24.5,7.7,106.7,805.1,5496.38
Singida,Thompson Seedless,Wet Season,Grade C,0.5,11.9,4.0,141.2,680.3,3275.44
Dodoma,Flame Seedless,Dry Season,Grade C,0.67,20.6,9.0,127.3,1130.3,4214.5
Morogoro,Red Globe,Wet Season,Grade C,6.22,24.6,7.0,8.9,671.8,4875.13
Dodoma,Red Globe,Dry Season,Grade A,3.97,22.4,7.2,92.3,764.5,6206.54
Morogoro,Red Globe,Wet Season,Grade A,4.17,20.5,14.9,140.5,942.5,5632.63
Mbeya,Flame Seedless,Dry Season,Grade C,5.86,22.6,4.9,126.3,834.4,5067.27
Arusha,Red Globe,Dry Season,Grade B,2.32,24.7,13.0,218.0,677.5,5524.51
Dodoma,Flame Seedless,Wet Season,Grade C,2.51,19.3,11.6,118.5,748.5,4097.52
Singida,Thompson Seedless,Wet Season,Grade B,5.1,18.4,11.6,149.4,1035.6,4623.05
Mbeya,Muscat,Dry Season,Grade B,7.67,19.4,13.4,131.7,622.5,6049.89
Dodoma,Red Globe,Wet Season,Grade C,6.39,18.0,11.2,223.5,513.8,4298.04
Singida,Red Globe,Dry Season,Grade C,3.32,19.5,17.6,259.6,650.5,4617.76
Dodoma,Thompson Seedless,Dry Season,Grade C,4.59,16.7,13.7,161.9,1079.6,5068.13
Morogoro,Muscat,Dry Season,Grade A,2.12,13.3,11.2,237.9,471.2,5263.03
Dodoma,Flame Seedless,Dry Season,Grade B,1.21,11.8,16.7,92.6,1193.4,5227.06
Dodoma,Muscat,Dry Season,Grade A,7.94,11.0,12.3,164.7,832.8,6175.16
Dodoma,Thompson Seedless,Wet Season,Grade A,3.02,13.9,6.2,106.8,1187.9,4327.73
